,Date,StockPrice,Log Normal StockPrice,TTMNetEPS,TTMSalesperShare,PricetoSalesRatio,BookValueperShare,TTMFCFperShare,QuarterlyRevenue,Quarterly Revenue % Change,GrossProfit,OperatingIncome,EBITDA,NetIncome,Net Income % Change,EPS,CurrentAssets,CurrentLiabilities,CurrentAssetsInventory,QuickRatio,DebtToEquity Ratio,TTMNetIncome,LTInvestmentsDebt,TotalAssets,CashOnHand,LongTermDebt,TotalLiabilities,PE Ratio,PricetoBook Ratio,Current Ratio,Shareholder Equity,ROI
1,3/31/2007,20.04,0.029369199458804927,2.07,30.56,0.66,16.8,5.66,22584,-0.1,13672,16.11,7329,1495,44.86,0.51,17.89,27.91,16.11,0.58,0.58,13.99,76.86,184284,3450,28073,135502,9.68,1.19,0.64,48782,0.1820192557897476
2,6/30/2007,21.98,0.09240267275881126,2.1,31.14,0.71,17.17,5.41,23273,3.05,14042,15.24,7722,1683,12.58,0.58,17.03,24.45,15.24,0.62,0.59,14.93,79.21,184760,2356,29374,134929,10.47,1.28,0.7,49831,0.18848630223456636
3,9/30/2007,23.88,0.08290833954892604,1.88,31.66,0.75,17.19,4.96,23772,2.14,14164,15.25,7815,1271,-24.48,0.44,17.04,24.16,15.25,0.63,0.59,15.6,79.07,185619,1909,29383,135930,12.7,1.39,0.71,49689,0.1972935373719489
4,12/31/2007,23.78,-0.004196397261765453,1.9,32.18,0.74,17.58,5.78,23840,0.29,14044,16.97,7089,1072,-15.66,0.37,18.7,24.74,16.97,0.69,0.56,15.58,78.78,186959,3397,28203,136378,12.52,1.35,0.76,50581,0.19776593043919777
5,3/31/2008,20.04,-0.17111461504597178,1.96,32.74,0.61,17.64,6.07,23833,-0.03,14316,20.78,7915,3049,184.42,0.57,22.45,24.74,20.78,0.84,0.64,16.12,82.41,191293,7442,32134,141013,10.22,1.14,0.91,50280,0.19560732920762045
6,6/30/2008,19.78,-0.013058950022097891,2.04,33.19,0.6,17.87,6.71,24124,1.22,14658,15.78,8130,3404,11.64,0.66,18.0,29.9,15.78,0.53,0.66,16.51,84.67,200646,2074,33778,149759,9.7,1.11,0.6,50887,0.1949923231368844
7,9/30/2008,18.15,-0.08600076548370639,2.19,33.7,0.54,17.94,7.69,24752,2.6,14704,16.65,7825,1669,-50.97,0.59,19.13,28.28,16.65,0.59,0.74,16.48,88.43,204861,1674,37478,153907,8.29,1.01,0.68,50954,0.1863620943118851
8,12/31/2008,19.49,0.07123095280860965,2.25,34.13,0.57,27.78,8.1,24645,-0.43,15061,23.98,-6648,-10315,-718.03,-2.59,26.08,25.91,23.98,0.93,0.6,2.61,125.86,202352,10291,46959,123447,8.66,0.7,1.01,78905,0.020737327188940093
9,3/31/2009,17.62,-0.10086689301143587,2.26,35.17,0.5,28.36,8.72,26591,7.9,16283,19.68,8722,1645,-115.95,0.58,21.88,35.07,19.68,0.56,0.69,2.97,136.23,226851,4351,55674,146297,7.8,0.62,0.62,80554,0.021801365338031273
10,6/30/2009,18.19,0.03183737202199756,2.12,36.17,0.5,29.16,9.36,26861,1.02,16380,18.69,8509,1483,-9.85,0.52,21.46,26.37,18.69,0.71,0.72,2.85,142.29,224999,1180,59469,142178,8.58,0.62,0.81,82821,0.020029517183217375
11,9/30/2009,18.2,0.0005496015527186049,1.94,37.06,0.49,29.78,10.53,27265,1.5,16269,19.47,8158,1176,-20.7,0.41,22.02,27.31,19.47,0.71,0.68,2.66,141.96,226404,1690,57374,141822,9.38,0.61,0.81,84582,0.01873767258382643
12,12/31/2009,20.24,0.10623925033651517,1.28,37.95,0.53,29.67,12.02,27091,-0.64,14297,20.32,7123,590,-49.83,0.21,21.75,29.14,20.32,0.7,0.65,15.98,139.19,226907,2499,55051,142764,15.81,0.68,0.75,84143,0.11480709821107839
13,3/31/2010,19.24,-0.05066939918170441,0.84,38.07,0.51,29.95,12.28,26913,-0.66,16261,21.29,8563,443,-24.92,0.16,22.41,28.06,21.29,0.76,0.64,15.73,139.08,227347,3557,54424,142695,22.9,0.64,0.8,84652,0.1131003738855335
14,6/30/2010,17.65,-0.08625566185825467,0.25,38.09,0.46,29.88,13.41,26773,-0.52,14557,20.08,4587,-1192,-369.07,-0.42,21.06,31.83,20.08,0.63,0.59,11.72,134.07,226251,5225,49594,141778,70.6,0.59,0.66,84473,0.08741702095920043
15,9/30/2010,22.33,0.2351952824727608,0.15,37.85,0.59,29.94,14.38,26484,-1.08,15813,20.33,7406,659,-155.29,0.23,21.34,28.77,20.33,0.71,0.56,11.11,131.98,220852,5975,47360,136228,148.87,0.75,0.74,84624,0.08417942112441279
16,12/31/2010,24.88,0.10813320201891224,1.31,37.63,0.66,30.74,15.23,26395,-0.34,15785,21.22,10494,2639,300.46,0.93,22.35,30.6,21.22,0.69,0.52,14.65,132.16,220005,7213,45252,133093,18.99,0.81,0.73,86912,0.11085048426150122
17,3/31/2011,27.16,0.08768103481951676,1.68,37.67,0.72,31.41,14.18,26990,2.25,15761,28.68,8477,1439,-45.47,0.51,29.92,32.75,28.68,0.88,0.56,14.66,138.24,228108,14730,49374,139244,16.17,0.86,0.91,88864,0.10604745370370369
18,6/30/2011,26.57,-0.021962542918773274,2.32,37.9,0.7,32.05,12.29,27536,2.02,16378,21.2,9005,1609,11.81,0.57,22.47,27.37,21.2,0.78,0.53,19.14,138.64,223756,6828,47927,133044,11.45,0.83,0.82,90712,0.13805539526832084
19,9/30/2011,26.6,0.001128456015931205,2.5,38.38,0.69,30.91,10.73,27913,1.37,16515,26.62,8826,1379,-14.29,0.49,27.77,34.64,26.62,0.77,0.53,20.4,133.8,228032,10858,46285,140517,10.64,0.86,0.8,87515,0.15246636771300445
20,12/31/2011,29.41,0.10042353677825024,0.86,39.07,0.75,30.31,9.53,28436,1.87,16346,30.0,3068,-2023,-246.7,-0.72,30.94,30.76,30.0,0.98,0.59,12.88,136.21,230461,13954,50303,144553,34.2,0.97,1.01,85908,0.0945598707877542
21,3/31/2012,28.39,-0.03529778208102382,0.94,39.46,0.72,31.12,10.13,28242,-0.68,16923,22.45,9223,1686,-183.34,0.59,23.51,22.91,22.45,0.98,0.55,13.62,136.9,222921,6532,48476,134500,30.2,0.91,1.03,88421,0.09948867786705623
22,6/30/2012,33.44,0.16371581773162105,1.01,39.75,0.84,31.74,11.51,28552,1.1,17656,26.27,9779,1825,8.24,0.64,27.13,26.35,26.27,1.0,0.51,14.38,136.91,226072,10778,46479,135644,33.11,1.05,1.03,90428,0.10503250310422907
23,9/30/2012,34.68,0.036410363695840386,1.08,40.04,0.87,32.46,13.04,29007,1.59,18016,26.44,9650,1593,-12.71,0.56,27.66,28.77,26.44,0.92,0.5,15.22,139.1,231082,10307,46467,138454,32.11,1.07,0.96,92628,0.10941768511861971
24,12/31/2012,33.29,-0.04090610032540757,0.31,40.52,0.82,29.92,13.62,30045,3.58,16976,20.16,968,-4229,-365.47,-1.48,21.24,26.96,20.16,0.75,0.56,13.16,133.15,225222,3563,47618,139689,107.39,1.11,0.79,85533,0.09883589936162222
25,3/31/2013,38.26,0.1391479124251732,0.4,40.85,0.94,30.61,14.15,29420,-2.08,18488,24.46,10340,1952,-146.16,0.68,25.26,31.49,24.46,0.78,0.48,14.19,129.58,226186,6135,41993,138598,95.65,1.25,0.8,87588,0.1095076400679117
26,6/30/2013,39.6,0.03442415424832823,0.54,41.23,0.96,30.46,14.73,29786,1.24,18753,20.92,10706,2246,15.06,0.78,21.96,29.19,20.92,0.72,0.48,15.09,128.95,223346,2406,41791,136190,73.33,1.3,0.75,87156,0.11702210158976348
27,9/30/2013,37.08,-0.06575137756278054,0.76,41.65,0.89,31.54,15.81,30279,1.66,19319,72.51,11282,2232,-0.62,0.78,73.71,30.29,72.51,2.39,1.01,16.74,181.2,276675,57341,90938,186410,48.79,1.18,2.43,90265,0.0923841059602649
28,12/31/2013,39.49,0.06296973460090381,4.0,41.96,0.94,33.34,18.19,31065,2.6,19103,69.97,16246,5067,127.02,1.76,70.99,27.05,69.97,2.59,0.94,31.97,185.07,274098,54129,89658,178682,9.87,1.18,2.62,95416,0.17274544766844976
29,3/31/2014,38.65,-0.021500700265127164,4.47,40.7,0.95,3.34,17.69,30818,-0.8,19629,22.39,11297,3947,-22.1,1.15,23.27,25.35,22.39,0.88,7.77,32.91,121.47,221562,3544,107617,207711,8.65,11.57,0.92,13851,0.270931094097308
30,6/30/2014,40.19,0.03907143342767873,4.7,37.91,1.06,3.86,15.89,31483,2.16,19396,21.81,11846,4214,6.76,1.01,22.89,26.49,21.81,0.82,6.73,34.04,123.71,224427,6424,107696,208415,8.55,10.41,0.86,16012,0.2751596475628486
31,9/30/2014,41.51,0.03231615360383773,4.81,34.97,1.19,4.33,12.65,31586,0.33,19334,23.57,11057,3695,-12.32,0.89,24.77,26.89,23.57,0.88,5.99,33.8,125.6,226293,7853,107627,208325,8.63,9.59,0.92,17968,0.26910828025477707
32,12/31/2014,39.27,-0.05547349347502896,2.51,32.5,1.21,3.29,8.3,33192,5.08,18789,28.35,1932,-2231,-160.38,-0.63,29.5,27.99,28.35,1.01,8.08,19.6,124.21,232616,11153,110536,218940,15.65,11.94,1.05,13676,0.15779727880202885
33,3/31/2015,41.31,0.050643732818754936,2.38,31.27,1.32,2.64,9.01,31984,-3.64,19888,21.76,11949,4219,-289.11,1.02,22.84,28.71,21.76,0.76,10.13,20.4,119.71,235790,4933,108949,225031,17.36,15.65,0.8,10759,0.17041182858574888
34,6/30/2015,40.04,-0.031225646961653378,2.41,31.58,1.27,3.17,10.12,32224,0.75,19775,20.35,11801,4231,0.28,1.04,21.5,30.65,20.35,0.66,8.5,20.54,122.34,240753,3317,109465,227879,16.61,12.63,0.7,12874,0.16789275788785352
35,9/30/2015,37.81,-0.05730533654417832,2.51,32.12,1.18,3.57,11.48,33158,2.9,19853,20.45,11544,4038,-4.56,0.99,21.77,34.49,20.45,0.59,7.22,21.18,119.6,242073,4181,105060,227531,15.06,10.59,0.63,14542,0.1770903010033445
36,12/31/2015,40.69,0.07340874411075694,4.37,32.15,1.27,4.38,13.3,34254,3.31,19547,21.1,13783,5391,33.51,1.32,22.36,35.05,21.1,0.6,5.79,33.06,121.08,244175,4820,103240,226333,9.31,9.29,0.64,17842,0.2730426164519326
37,3/31/2016,48.2,0.16937665904295623,4.41,32.26,1.49,4.93,12.73,32171,-6.08,19559,22.47,11959,4310,-20.05,1.06,23.62,33.31,22.47,0.68,5.15,33.04,123.72,244587,5846,103615,224484,10.93,9.78,0.71,20103,0.2670546395085677
38,6/30/2016,50.29,0.042447229127318624,3.54,31.85,1.58,5.09,11.47,30532,-5.09,18311,19.91,8536,702,-83.71,0.17,20.84,34.41,19.91,0.58,4.48,29.78,113.67,231870,2857,92922,211126,14.21,9.88,0.61,20744,0.261986452010205
39,9/30/2016,47.28,-0.061718877086030605,3.44,31.29,1.51,5.39,9.13,30937,1.33,18708,24.3,10482,3620,415.67,0.89,25.62,30.3,24.3,0.8,4.67,28.78,124.72,239498,6441,102739,217515,13.74,8.77,0.85,21983,0.2307568954457986
40,12/31/2016,49.12,0.0381789107410442,3.22,30.84,1.59,5.9,5.34,32340,4.54,17978,25.19,12010,4495,24.17,1.09,26.4,30.34,25.19,0.83,4.39,27.06,129.47,244180,2880,105433,220148,15.25,8.33,0.87,24032,0.20900594732370434
41,3/31/2017,45.34,-0.08007663875950394,3.0,30.26,1.5,6.14,3.92,29814,-7.81,17767,25.96,11021,3450,-23.25,0.84,27.16,26.66,25.96,0.97,4.51,26.08,137.88,246731,4307,112839,221694,15.11,7.38,1.02,25037,0.18914998549463302
42,6/30/2017,42.03,-0.07580599606235766,3.9,30.26,1.39,6.56,3.1,30548,2.46,18064,27.71,12181,4362,26.43,1.07,28.82,27.76,27.71,1.0,4.35,29.54,143.15,252978,4583,116390,226217,10.78,6.41,1.04,26761,0.20635696821515892
43,9/30/2017,47.2,0.11601024357448445,3.9,30.44,1.55,6.97,3.01,31717,3.83,19112,29.59,11480,3620,-17.01,0.89,30.87,28.93,29.59,1.02,4.05,30.21,143.77,254682,4487,115317,226231,12.1,6.77,1.07,28451,0.21012728663838073
44,12/31/2017,51.09,0.079194890751197,7.36,30.83,1.66,10.95,3.57,33955,7.06,19535,28.88,9686,18669,415.72,4.56,29.91,33.04,28.88,0.87,2.54,27.41,158.33,257143,2079,113642,212456,6.94,4.67,0.91,44687,0.17311943409334932
45,3/31/2018,46.68,-0.09027297592435148,7.63,31.27,1.49,12.67,4.49,31772,-6.43,18517,29.74,11673,4545,-75.65,1.11,31.03,31.62,29.74,0.94,2.15,27.8,165.08,264516,1923,112734,212171,6.12,3.68,0.98,52345,0.16840319844923674
46,6/30/2018,49.73,0.0632925653082918,7.56,31.58,1.57,12.97,6.01,32203,1.36,18572,29.77,10967,4120,-9.35,1.0,30.88,32.33,29.77,0.92,2.04,26.4,162.75,263303,1750,109174,209728,6.58,3.83,0.96,53575,0.16221198156682026
