,Date,StockPrice,Log Normal StockPrice,LN Price Change,TTMNetEPS,EPS Category,PE Ratio,PE Category,TTMSalesperShare,PricetoSalesRatio,BookValueperShare,PricetoBook Ratio,TTMFCFperShare,QuarterlyRevenue,Quarterly Revenue % Change,GrossProfit,OperatingIncome,EBITDA,NetIncome,Net Income % Change,EPS,CurrentAssets,CurrentLiabilities,CurrentAssetsInventory,QuickRatio,QuickRatioCategory,DebtToEquity Ratio,DebtToEquityCategory,TTMNetIncome,LTInvestmentsDebt,ROI,TotalAssets,TotalLiabilities,Current Ratio,Current Ratio Category,CashOnHand,LongTermDebt,Shareholder Equity
1,3/31/2007,20.04,0.029369199458804927,Price=Positive,2.07,EPS=Grade C,9.68,PE=Value,30.56,0.66,16.8,1.19,5.66,22584,-0.1,13672,16.11,7329,1495,44.86,0.51,17.89,27.91,16.11,0.58,QR=High Risk,0.58,DE=Low Risk,13.99,76.86,0.1820192557897476,184284,135502,0.64,CR=Acceptable,3450,28073,48782
2,6/30/2007,21.98,0.09240267275881126,Price=Very Positive,2.1,EPS=Grade C,10.47,PE=Value,31.14,0.71,17.17,1.28,5.41,23273,3.05,14042,15.24,7722,1683,12.58,0.58,17.03,24.45,15.24,0.62,QR=High Risk,0.59,DE=Low Risk,14.93,79.21,0.18848630223456636,184760,134929,0.7,CR=Acceptable,2356,29374,49831
3,9/30/2007,23.88,0.08290833954892604,Price=Very Positive,1.88,EPS=Grade D,12.7,PE=Balanced,31.66,0.75,17.19,1.39,4.96,23772,2.14,14164,15.25,7815,1271,-24.48,0.44,17.04,24.16,15.25,0.63,QR=High Risk,0.59,DE=Low Risk,15.6,79.07,0.1972935373719489,185619,135930,0.71,CR=Acceptable,1909,29383,49689
4,12/31/2007,23.78,-0.004196397261765453,Price=Negative,1.9,EPS=Grade D,12.52,PE=Balanced,32.18,0.74,17.58,1.35,5.78,23840,0.29,14044,16.97,7089,1072,-15.66,0.37,18.7,24.74,16.97,0.69,QR=Moderate Risk,0.56,DE=Low Risk,15.58,78.78,0.19776593043919777,186959,136378,0.76,CR=Acceptable,3397,28203,50581
5,3/31/2008,20.04,-0.17111461504597178,Price=Extremely Negative,1.96,EPS=Grade D,10.22,PE=Value,32.74,0.61,17.64,1.14,6.07,23833,-0.03,14316,20.78,7915,3049,184.42,0.57,22.45,24.74,20.78,0.84,QR=Moderate Risk,0.64,DE=Moderate Risk,16.12,82.41,0.19560732920762045,191293,141013,0.91,CR=Good,7442,32134,50280
6,6/30/2008,19.78,-0.013058950022097891,Price=Negative,2.04,EPS=Grade C,9.7,PE=Value,33.19,0.6,17.87,1.11,6.71,24124,1.22,14658,15.78,8130,3404,11.64,0.66,18.0,29.9,15.78,0.53,QR=High Risk,0.66,DE=Moderate Risk,16.51,84.67,0.1949923231368844,200646,149759,0.6,CR=Low,2074,33778,50887
7,9/30/2008,18.15,-0.08600076548370639,Price=Very Negative,2.19,EPS=Grade C,8.29,PE=High Value,33.7,0.54,17.94,1.01,7.69,24752,2.6,14704,16.65,7825,1669,-50.97,0.59,19.13,28.28,16.65,0.59,QR=High Risk,0.74,DE=Moderate Risk,16.48,88.43,0.1863620943118851,204861,153907,0.68,CR=Acceptable,1674,37478,50954
8,12/31/2008,19.49,0.07123095280860965,Price=Very Positive,2.25,EPS=Grade C,8.66,PE=High Value,34.13,0.57,27.78,0.7,8.1,24645,-0.43,15061,23.98,-6648,-10315,-718.03,-2.59,26.08,25.91,23.98,0.93,QR=Low Risk,0.6,DE=Low Risk,2.61,125.86,0.020737327188940093,202352,123447,1.01,CR=Very Good,10291,46959,78905
9,3/31/2009,17.62,-0.10086689301143587,Price=Very Negative,2.26,EPS=Grade C,7.8,PE=High Value,35.17,0.5,28.36,0.62,8.72,26591,7.9,16283,19.68,8722,1645,-115.95,0.58,21.88,35.07,19.68,0.56,QR=High Risk,0.69,DE=Moderate Risk,2.97,136.23,0.021801365338031273,226851,146297,0.62,CR=Acceptable,4351,55674,80554
10,6/30/2009,18.19,0.03183737202199756,Price=Positive,2.12,EPS=Grade C,8.58,PE=High Value,36.17,0.5,29.16,0.62,9.36,26861,1.02,16380,18.69,8509,1483,-9.85,0.52,21.46,26.37,18.69,0.71,QR=Moderate Risk,0.72,DE=Moderate Risk,2.85,142.29,0.020029517183217375,224999,142178,0.81,CR=Good,1180,59469,82821
11,9/30/2009,18.2,0.0005496015527186049,Price=Positive,1.94,EPS=Grade D,9.38,PE=Value,37.06,0.49,29.78,0.61,10.53,27265,1.5,16269,19.47,8158,1176,-20.7,0.41,22.02,27.31,19.47,0.71,QR=Moderate Risk,0.68,DE=Moderate Risk,2.66,141.96,0.01873767258382643,226404,141822,0.81,CR=Good,1690,57374,84582
12,12/31/2009,20.24,0.10623925033651517,Price=Very Positive,1.28,EPS=Grade D,15.81,PE=Growth,37.95,0.53,29.67,0.68,12.02,27091,-0.64,14297,20.32,7123,590,-49.83,0.21,21.75,29.14,20.32,0.7,QR=Moderate Risk,0.65,DE=Moderate Risk,15.98,139.19,0.11480709821107839,226907,142764,0.75,CR=Acceptable,2499,55051,84143
13,3/31/2010,19.24,-0.05066939918170441,Price=Negative,0.84,EPS=Grade E,22.9,PE=Growth,38.07,0.51,29.95,0.64,12.28,26913,-0.66,16261,21.29,8563,443,-24.92,0.16,22.41,28.06,21.29,0.76,QR=Moderate Risk,0.64,DE=Moderate Risk,15.73,139.08,0.1131003738855335,227347,142695,0.8,CR=Acceptable,3557,54424,84652
14,6/30/2010,17.65,-0.08625566185825467,Price=Very Negative,0.25,EPS=Grade E,70.6,PE=High Growth,38.09,0.46,29.88,0.59,13.41,26773,-0.52,14557,20.08,4587,-1192,-369.07,-0.42,21.06,31.83,20.08,0.63,QR=High Risk,0.59,DE=Low Risk,11.72,134.07,0.08741702095920043,226251,141778,0.66,CR=Acceptable,5225,49594,84473
15,9/30/2010,22.33,0.2351952824727608,Price=Extremely Positive,0.15,EPS=Grade E,148.87,PE=High Growth,37.85,0.59,29.94,0.75,14.38,26484,-1.08,15813,20.33,7406,659,-155.29,0.23,21.34,28.77,20.33,0.71,QR=Moderate Risk,0.56,DE=Low Risk,11.11,131.98,0.08417942112441279,220852,136228,0.74,CR=Acceptable,5975,47360,84624
16,12/31/2010,24.88,0.10813320201891224,Price=Very Positive,1.31,EPS=Grade D,18.99,PE=Growth,37.63,0.66,30.74,0.81,15.23,26395,-0.34,15785,21.22,10494,2639,300.46,0.93,22.35,30.6,21.22,0.69,QR=Moderate Risk,0.52,DE=Low Risk,14.65,132.16,0.11085048426150122,220005,133093,0.73,CR=Acceptable,7213,45252,86912
17,3/31/2011,27.16,0.08768103481951676,Price=Very Positive,1.68,EPS=Grade D,16.17,PE=Growth,37.67,0.72,31.41,0.86,14.18,26990,2.25,15761,28.68,8477,1439,-45.47,0.51,29.92,32.75,28.68,0.88,QR=Moderate Risk,0.56,DE=Low Risk,14.66,138.24,0.10604745370370369,228108,139244,0.91,CR=Good,14730,49374,88864
18,6/30/2011,26.57,-0.021962542918773274,Price=Negative,2.32,EPS=Grade C,11.45,PE=Balanced,37.9,0.7,32.05,0.83,12.29,27536,2.02,16378,21.2,9005,1609,11.81,0.57,22.47,27.37,21.2,0.78,QR=Moderate Risk,0.53,DE=Low Risk,19.14,138.64,0.13805539526832084,223756,133044,0.82,CR=Good,6828,47927,90712
19,9/30/2011,26.6,0.001128456015931205,Price=Positive,2.5,EPS=Grade B,10.64,PE=Value,38.38,0.69,30.91,0.86,10.73,27913,1.37,16515,26.62,8826,1379,-14.29,0.49,27.77,34.64,26.62,0.77,QR=Moderate Risk,0.53,DE=Low Risk,20.4,133.8,0.15246636771300445,228032,140517,0.8,CR=Acceptable,10858,46285,87515
20,12/31/2011,29.41,0.10042353677825024,Price=Very Positive,0.86,EPS=Grade E,34.2,PE=High Growth,39.07,0.75,30.31,0.97,9.53,28436,1.87,16346,30.0,3068,-2023,-246.7,-0.72,30.94,30.76,30.0,0.98,QR=Low Risk,0.59,DE=Low Risk,12.88,136.21,0.0945598707877542,230461,144553,1.01,CR=Very Good,13954,50303,85908
21,3/31/2012,28.39,-0.03529778208102382,Price=Negative,0.94,EPS=Grade E,30.2,PE=Growth,39.46,0.72,31.12,0.91,10.13,28242,-0.68,16923,22.45,9223,1686,-183.34,0.59,23.51,22.91,22.45,0.98,QR=Low Risk,0.55,DE=Low Risk,13.62,136.9,0.09948867786705623,222921,134500,1.03,CR=Very Good,6532,48476,88421
22,6/30/2012,33.44,0.16371581773162105,Price=Extremely Positive,1.01,EPS=Grade D,33.11,PE=High Growth,39.75,0.84,31.74,1.05,11.51,28552,1.1,17656,26.27,9779,1825,8.24,0.64,27.13,26.35,26.27,1.0,QR=Low Risk,0.51,DE=Low Risk,14.38,136.91,0.10503250310422907,226072,135644,1.03,CR=Very Good,10778,46479,90428
23,9/30/2012,34.68,0.036410363695840386,Price=Positive,1.08,EPS=Grade D,32.11,PE=High Growth,40.04,0.87,32.46,1.07,13.04,29007,1.59,18016,26.44,9650,1593,-12.71,0.56,27.66,28.77,26.44,0.92,QR=Low Risk,0.5,DE=Low Risk,15.22,139.1,0.10941768511861971,231082,138454,0.96,CR=Good,10307,46467,92628
24,12/31/2012,33.29,-0.04090610032540757,Price=Negative,0.31,EPS=Grade E,107.39,PE=High Growth,40.52,0.82,29.92,1.11,13.62,30045,3.58,16976,20.16,968,-4229,-365.47,-1.48,21.24,26.96,20.16,0.75,QR=Moderate Risk,0.56,DE=Low Risk,13.16,133.15,0.09883589936162222,225222,139689,0.79,CR=Acceptable,3563,47618,85533
25,3/31/2013,38.26,0.1391479124251732,Price=Extremely Positive,0.4,EPS=Grade E,95.65,PE=High Growth,40.85,0.94,30.61,1.25,14.15,29420,-2.08,18488,24.46,10340,1952,-146.16,0.68,25.26,31.49,24.46,0.78,QR=Moderate Risk,0.48,DE=Low Risk,14.19,129.58,0.1095076400679117,226186,138598,0.8,CR=Acceptable,6135,41993,87588
26,6/30/2013,39.6,0.03442415424832823,Price=Positive,0.54,EPS=Grade E,73.33,PE=High Growth,41.23,0.96,30.46,1.3,14.73,29786,1.24,18753,20.92,10706,2246,15.06,0.78,21.96,29.19,20.92,0.72,QR=Moderate Risk,0.48,DE=Low Risk,15.09,128.95,0.11702210158976348,223346,136190,0.75,CR=Acceptable,2406,41791,87156
27,9/30/2013,37.08,-0.06575137756278054,Price=Very Negative,0.76,EPS=Grade E,48.79,PE=High Growth,41.65,0.89,31.54,1.18,15.81,30279,1.66,19319,72.51,11282,2232,-0.62,0.78,73.71,30.29,72.51,2.39,QR=Low Risk,1.01,DE=Moderate Risk,16.74,181.2,0.0923841059602649,276675,186410,2.43,CR=Very Good,57341,90938,90265
28,12/31/2013,39.49,0.06296973460090381,Price=Very Positive,4.0,EPS=Grade A,9.87,PE=Value,41.96,0.94,33.34,1.18,18.19,31065,2.6,19103,69.97,16246,5067,127.02,1.76,70.99,27.05,69.97,2.59,QR=Low Risk,0.94,DE=Moderate Risk,31.97,185.07,0.17274544766844976,274098,178682,2.62,CR=Very Good,54129,89658,95416
29,3/31/2014,38.65,-0.021500700265127164,Price=Negative,4.47,EPS=Grade A,8.65,PE=High Value,40.7,0.95,3.34,11.57,17.69,30818,-0.8,19629,22.39,11297,3947,-22.1,1.15,23.27,25.35,22.39,0.88,QR=Moderate Risk,7.77,DE=Very High Risk,32.91,121.47,0.270931094097308,221562,207711,0.92,CR=Good,3544,107617,13851
30,6/30/2014,40.19,0.03907143342767873,Price=Positive,4.7,EPS=Grade A,8.55,PE=High Value,37.91,1.06,3.86,10.41,15.89,31483,2.16,19396,21.81,11846,4214,6.76,1.01,22.89,26.49,21.81,0.82,QR=Moderate Risk,6.73,DE=Very High Risk,34.04,123.71,0.2751596475628486,224427,208415,0.86,CR=Good,6424,107696,16012
31,9/30/2014,41.51,0.03231615360383773,Price=Positive,4.81,EPS=Grade A,8.63,PE=High Value,34.97,1.19,4.33,9.59,12.65,31586,0.33,19334,23.57,11057,3695,-12.32,0.89,24.77,26.89,23.57,0.88,QR=Moderate Risk,5.99,DE=Very High Risk,33.8,125.6,0.26910828025477707,226293,208325,0.92,CR=Good,7853,107627,17968
32,12/31/2014,39.27,-0.05547349347502896,Price=Negative,2.51,EPS=Grade B,15.65,PE=Growth,32.5,1.21,3.29,11.94,8.3,33192,5.08,18789,28.35,1932,-2231,-160.38,-0.63,29.5,27.99,28.35,1.01,QR=Low Risk,8.08,DE=Very High Risk,19.6,124.21,0.15779727880202885,232616,218940,1.05,CR=Very Good,11153,110536,13676
33,3/31/2015,41.31,0.050643732818754936,Price=Positive,2.38,EPS=Grade B,17.36,PE=Growth,31.27,1.32,2.64,15.65,9.01,31984,-3.64,19888,21.76,11949,4219,-289.11,1.02,22.84,28.71,21.76,0.76,QR=Moderate Risk,10.13,DE=Very High Risk,20.4,119.71,0.17041182858574888,235790,225031,0.8,CR=Acceptable,4933,108949,10759
34,6/30/2015,40.04,-0.031225646961653378,Price=Negative,2.41,EPS=Grade B,16.61,PE=Growth,31.58,1.27,3.17,12.63,10.12,32224,0.75,19775,20.35,11801,4231,0.28,1.04,21.5,30.65,20.35,0.66,QR=Moderate Risk,8.5,DE=Very High Risk,20.54,122.34,0.16789275788785352,240753,227879,0.7,CR=Acceptable,3317,109465,12874
35,9/30/2015,37.81,-0.05730533654417832,Price=Negative,2.51,EPS=Grade B,15.06,PE=Balanced,32.12,1.18,3.57,10.59,11.48,33158,2.9,19853,20.45,11544,4038,-4.56,0.99,21.77,34.49,20.45,0.59,QR=High Risk,7.22,DE=Very High Risk,21.18,119.6,0.1770903010033445,242073,227531,0.63,CR=Acceptable,4181,105060,14542
36,12/31/2015,40.69,0.07340874411075694,Price=Very Positive,4.37,EPS=Grade A,9.31,PE=Value,32.15,1.27,4.38,9.29,13.3,34254,3.31,19547,21.1,13783,5391,33.51,1.32,22.36,35.05,21.1,0.6,QR=High Risk,5.79,DE=Very High Risk,33.06,121.08,0.2730426164519326,244175,226333,0.64,CR=Acceptable,4820,103240,17842
37,3/31/2016,48.2,0.16937665904295623,Price=Extremely Positive,4.41,EPS=Grade A,10.93,PE=Balanced,32.26,1.49,4.93,9.78,12.73,32171,-6.08,19559,22.47,11959,4310,-20.05,1.06,23.62,33.31,22.47,0.68,QR=Moderate Risk,5.15,DE=Very High Risk,33.04,123.72,0.2670546395085677,244587,224484,0.71,CR=Acceptable,5846,103615,20103
38,6/30/2016,50.29,0.042447229127318624,Price=Positive,3.54,EPS=Grade B,14.21,PE=Balanced,31.85,1.58,5.09,9.88,11.47,30532,-5.09,18311,19.91,8536,702,-83.71,0.17,20.84,34.41,19.91,0.58,QR=High Risk,4.48,DE=Higher Risk,29.78,113.67,0.261986452010205,231870,211126,0.61,CR=Acceptable,2857,92922,20744
39,9/30/2016,47.28,-0.061718877086030605,Price=Very Negative,3.44,EPS=Grade B,13.74,PE=Balanced,31.29,1.51,5.39,8.77,9.13,30937,1.33,18708,24.3,10482,3620,415.67,0.89,25.62,30.3,24.3,0.8,QR=Moderate Risk,4.67,DE=Higher Risk,28.78,124.72,0.2307568954457986,239498,217515,0.85,CR=Good,6441,102739,21983
40,12/31/2016,49.12,0.0381789107410442,Price=Positive,3.22,EPS=Grade B,15.25,PE=Growth,30.84,1.59,5.9,8.33,5.34,32340,4.54,17978,25.19,12010,4495,24.17,1.09,26.4,30.34,25.19,0.83,QR=Moderate Risk,4.39,DE=Higher Risk,27.06,129.47,0.20900594732370434,244180,220148,0.87,CR=Good,2880,105433,24032
41,3/31/2017,45.34,-0.08007663875950394,Price=Very Negative,3.0,EPS=Grade B,15.11,PE=Growth,30.26,1.5,6.14,7.38,3.92,29814,-7.81,17767,25.96,11021,3450,-23.25,0.84,27.16,26.66,25.96,0.97,QR=Low Risk,4.51,DE=Higher Risk,26.08,137.88,0.18914998549463302,246731,221694,1.02,CR=Very Good,4307,112839,25037
42,6/30/2017,42.03,-0.07580599606235766,Price=Very Negative,3.9,EPS=Grade B,10.78,PE=Balanced,30.26,1.39,6.56,6.41,3.1,30548,2.46,18064,27.71,12181,4362,26.43,1.07,28.82,27.76,27.71,1.0,QR=Low Risk,4.35,DE=Higher Risk,29.54,143.15,0.20635696821515892,252978,226217,1.04,CR=Very Good,4583,116390,26761
43,9/30/2017,47.2,0.11601024357448445,Price=Very Positive,3.9,EPS=Grade B,12.1,PE=Balanced,30.44,1.55,6.97,6.77,3.01,31717,3.83,19112,29.59,11480,3620,-17.01,0.89,30.87,28.93,29.59,1.02,QR=Low Risk,4.05,DE=Higher Risk,30.21,143.77,0.21012728663838073,254682,226231,1.07,CR=Very Good,4487,115317,28451
44,12/31/2017,51.09,0.079194890751197,Price=Very Positive,7.36,EPS=Grade A,6.94,PE=High Value,30.83,1.66,10.95,4.67,3.57,33955,7.06,19535,28.88,9686,18669,415.72,4.56,29.91,33.04,28.88,0.87,QR=Moderate Risk,2.54,DE=Higher Risk,27.41,158.33,0.17311943409334932,257143,212456,0.91,CR=Good,2079,113642,44687
45,3/31/2018,46.68,-0.09027297592435148,Price=Very Negative,7.63,EPS=Grade A,6.12,PE=High Value,31.27,1.49,12.67,3.68,4.49,31772,-6.43,18517,29.74,11673,4545,-75.65,1.11,31.03,31.62,29.74,0.94,QR=Low Risk,2.15,DE=Higher Risk,27.8,165.08,0.16840319844923674,264516,212171,0.98,CR=Good,1923,112734,52345
46,6/30/2018,49.73,0.0632925653082918,Price=Very Positive,7.56,EPS=Grade A,6.58,PE=High Value,31.58,1.57,12.97,3.83,6.01,32203,1.36,18572,29.77,10967,4120,-9.35,1.0,30.88,32.33,29.77,0.92,QR=Low Risk,2.04,DE=Higher Risk,26.4,162.75,0.16221198156682026,263303,209728,0.96,CR=Good,1750,109174,53575
